2016-12-16 17:48:50 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=60&CP_Tire_Rim=12C&CP_Tire_Width=215.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-17 16:24:35 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=85&CP_Tire_Rim=14C&CP_Tire_Width=315.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-17 17:54:24 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=10.5&CP_Tire_Rim=14&CP_Tire_Width=205.html#ProductFilter proxy=, err= <class 'pycurl.error'> (7, 'Failed to connect to item.tuhu.cn port 80: Network is unreachable')
2016-12-17 17:54:25 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=10.5&CP_Tire_Rim=14&CP_Tire_Width=205.html#ProductFilter proxy=, err= <class 'pycurl.error'> (7, 'Failed to connect to item.tuhu.cn port 80: Network is unreachable')
2016-12-17 17:54:26 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=10.5&CP_Tire_Rim=14&CP_Tire_Width=205.html#ProductFilter proxy=, err= <class 'pycurl.error'> (7, 'Failed to connect to item.tuhu.cn port 80: Network is unreachable')
2016-12-17 17:54:28 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=10.5&CP_Tire_Rim=17&CP_Tire_Width=205.html#ProductFilter proxy=, err= <class 'pycurl.error'> (7, 'Failed to connect to item.tuhu.cn port 80: Network is unreachable')
2016-12-17 17:54:50 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=10.5&CP_Tire_Rim=13C&CP_Tire_Width=205.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Operation timed out after 30001 milliseconds with 0 bytes received')
2016-12-19 09:23:02 FAIL : req http://item.tuhu.cn/List/Tires/2/CP_Tire_AspectRatio=70&CP_Tire_Rim=15&CP_Tire_Width=215.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-19 09:23:13 FAIL : req http://item.tuhu.cn/List/Tires/2/CP_Tire_AspectRatio=70&CP_Tire_Rim=15&CP_Tire_Width=215.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-19 09:23:33 FAIL : req http://item.tuhu.cn/List/Tires/2/CP_Tire_AspectRatio=70&CP_Tire_Rim=15&CP_Tire_Width=215.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-19 09:46:03 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=70&CP_Tire_Rim=15&CP_Tire_Width=225.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-19 09:46:18 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=70&CP_Tire_Rim=16&CP_Tire_Width=225.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-19 09:46:34 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=70&CP_Tire_Rim=15&CP_Tire_Width=225.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
2016-12-19 10:08:31 FAIL : req http://item.tuhu.cn/List/Tires/1/CP_Tire_AspectRatio=60&CP_Tire_Rim=12&CP_Tire_Width=215.html#ProductFilter proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30001 milliseconds')
2016-12-20 11:46:16 FAIL : req http://www.mailuntai.cn/products/?type=1&width=215&rat=55&rim=13&brand=0&speed= proxy=, err= <class 'pycurl.error'> (28, 'Connection timed out after 30000 milliseconds')
